"releaseid","prdate","headline","prcopy","noteslabel","notestextcopy","photolabel","phototextcopy","keyword1","keyword2","keyword3","keyword4","keyword5","shortdescription","shorttitle"
"1127","31/10/2003","CHELSEA GREEN TO BLOSSOM UNDER NEW SCHEME","Royal Borough plans to enhance Chelsea Green were given the go-ahead on Friday October 31 in an imaginative scheme that will see improvements to the local landscape, and at the same time ensure the character of the surrounding area is protected for the future.    Improvements to the Green will include an upgrade of the lawn, new high quality period style iron railings and an overhaul of signs around it. The existing mature cherry tree will be retained. Parking and traffic arrangements will remain virtually as they are, with minor changes to assist pedestrian crossing.     Deputy Leader and Cabinet Member for Planning and Transportation, Councillor Daniel Moylan said: "We have listened very closely to the local community and have come up with a scheme for Chelsea Green that really adds something to the area, whilst retaining all of its essential character."    The overall aims of the project are to preserve the long-term attractiveness of the Green and to help maintain the competitiveness of the designated local shopping area.","NULL","Contact the Media and Communications Office on 020 7361 2332 for further information about Chelsea Green or to find out more about the Council's Planning and Transporation Vision and Strategy.","NULL","NULL","Chelsea Green","cherry tree","NULL","NULL","NULL","Chelsea Green to blossom under new scheme"
"1151","31/10/2003","MAYOR INSPECTS INSTALLATION OF SMOKE ALARMS","As part of a tour of Council properties managed by the Tenant Management Organisation (TMO), the Mayor of the Royal Borough, Councillor Christopher Buckmaster and TMO Chair Juliet Rawlings highlighted a campaign to fit smoke alarms in all TMO housing stock.  The campaign will initially see the alarms installed in the homes of all elderly and 'at risk' residents.   The move builds on firm evidence that smoke alarms save lives.    The Mayor said: ""If just one life is saved by this initiative it will have been","Notes for Editors","Pictures available .  Please contact Russell Guthrie on 020 7361 2115 for further information.    TMO is the organisation that manages and maintains the Royal Borough's housing stock.  The independent body is run by and for the residents.","NULL","NULL","Smoke Alarms","Mayor","Tenant Management Organisation","Juliet Rawlings"," Westway Project","As part of a tour of Council properties managed by the Tenant Management Organisation (TMO), the Mayor of the Royal Borough, Councillor Christopher Buckmaster and TMO Chair Juliet Rawlings highlighted a campaign to fit smoke alarms in all TMO housing stock.  The campaign will initially see the alarms installed in the homes of all elderly and 'at risk' residents.   The move builds on firm evidence that smoke alarms save lives.","Mayor Inspects Installation of Smoke Alarms"
"1152","31/10/2003","MEDIA INVITATION -  EXTENSION OF CONGESTION CHARGE ZONE","A public meeting, hosted by the Chelsea Residents Association (CRA), will highlight the mounting concern to Mayor Ken Livingstone's controversial plans to extend the Congestion Charge Zone into Chelsea and Kensington.      The meeting chaired by Dr Taylor (CRA), will hear from some high profile speakers including:    Councillor Merrick Cockell, Leader of the Royal Borough  Angie Bray, Greater London Assembly Member for West Central London  Beverley Aspinall, Managing Director of Peter Jones    The meeting will take place at Chelsea Town Hall, Monday 3 November 2003, 7pm - 9pm    All media are welcome to attend.","Notes for Editors","Dr Taylor is available on gwhtaylor@yahoo.co.uk","NULL","NULL","Congestion Zone","Merrick Cockell","Extention","Chelsea and Kensington","Angie Bray","A public meeting, hosted by the Chelsea Residents Association (CRA), will highlight the mounting concern to Mayor Ken Livingstone's controversial plans to extend the Congestion Zone into Chelsea and Kensington.","Media Invitation - Congestion Charge"
"1153","31/10/2003","MAYOR'S BROKEN PLEDGE ON CONGESTION CHARGE","Only three weeks after promising in writing to consider an extension of the congestion charging zone that would include all of Kensington and Chelsea, Mayor Livingstone has published a ""final"" consultation document that completely ignores this all-borough option.      Instead, the document concentrates solely on extending only as far west as the Earl's Court one-way system, a move that would leave 20,000 Royal Borough residents effectively penned in an area outside the zone and facing a five pounds charge f","Notes for Editors","The consultation document is called the Draft Mayor's Transport Strategy Revision.","NULL","NULL","congestion","charge","zone","traffic","Mayor","Only three weeks after promising in writing to consider an extension of the congestion charging zone that would include all of Kensington and Chelsea, Mayor Livingstone has published a ""final"" consultation document that completely ignores this all-borough option.","Mayor's Broken Pledge on Congestion Charge"
"1154","18/11/2003","NIP HOMELESSNESS IN THE BUD","The aim of the Royal Borough's Housing Information Day was to prevent homelessness before it actually happens.  By targeting 8000 people on the Borough's housing register the event focussed directly on those most likely to suffer the problems associated with homelessness. The event proved particularly popular, with nearly 700 visitors attending.    Rather than waiting for the homeless problem to occur, the Royal Borough has identified five key groups commonly afflicted by homelessness and provided a range of measures to help each.  The information day was an opportunity to showcase these solutions and give these groups a chance to talk through the options open to them. The groups highlighted are those suffering from rent arrears, overcrowding, domestic violence, the elderly and young people.      Tackling these issues at an early stage is important in Kensington and Chelsea as the residential property market is the most expensive in the country.  This can mean that low-income groups have limited options or choice and homelessness can be a very real prospect.    In the case of young people, evidence shows that when leaving home for the first time they can often find themselves homeless and would benefit from some specialist advice and education services.   Parents evicting children contributed 18 per cent to the Borough's homeless figure during 2002/2003.      Initiatives designed to tackle this include the creation of a mediation service that aims to give parents and children an opportunity to talk through any domestic disputes before making a final decision about leaving home.  Other services include a homeless prevention video in conjunction with schools and the creation of a Young Persons Housing Coordinator.     Other initiatives include:    · Independent legal advice   · Developing affordable ownership properties  · Choice Based Lettings Scheme - Home Connections  · HomeStart - Out of London affordable housing    Cabinet Member for Housing, Councillor Timothy Coleridge said: " We aim to tackle the problem of homelessness at its very source.  It is only the combination of prevention, advice and working with partner agencies that will produce real results.  The Information Day proved popular last year and it looks like this years event has proved even more so. "    Last year the `HomeStart' initiative was the theme for a similar event and provided information and advice for residents looking to solve their housing problems by moving out of the capital.  The scheme has proved a popular option and has directly helped to reduce the number of homeless people in the Borough.  The scheme is due to be stepped up in a deliberate move to reach more households.     One major homeless target has been to reduce the number of families with dependent children staying in Bed and Breakfast accommodation.  The Royal Borough has so far reduced this number from over 200 to just 22.    If you would like any advice on any of these matters, please call 0207 937 5464.","Notes for Editors","For further information on any homeless initiatives please call Russell Guthrie in the Press Office on 020 7361 2115","NULL","NULL","Homelessness","housing","Councillor Coleridge","information day","legal advice","The aim of the Royal Borough's Housing Information Day was to prevent homelessness before it actually happens.  By targeting 8000 people on the Borough's housing register the event focussed directly on those most likely to suffer the problems associated with homelessness. The event proved particularly popular, with nearly 700 visitors attending.","Nip homelessness in the bud"
"1155","06/11/2003","GUIDELINES TO CLEAR UP CONTAMINATED LAND","What does the Council expect from a property developer who wants to develop a site in the Borough that may be contaminated?    The answer to this question is now easier to find as the Royal Borough is leading the way in showing developers what they must do. While the Royal Borough does not have the legacy of land contaminated through previous use that some other London boroughs experience, it does have some sites, large and small that might be classified as contaminated.    The document, called `Contaminated land - A guide to help developers meet planning requirements', sets out the technical information required by the Council and the process that it expects a developer to follow.      The result of a project led by the Royal Borough, the publication brings together the work of 11 London councils.     It shows how anyone wanting to develop a potentially contaminated site in the Royal Borough would be expected to:  carry out a detailed investigation of the site  produce a strategy for cleaning up any contamination identified and   produce a report that shows that the site has been cleaned up to the satisfaction of the Council.    Councillor Walker-Arnott, Cabinet Member for Environmental Health, Leisure and Waste Management said: "We are fortunate not to have the large scale contaminated sites found in other boroughs, but it is important that any site which may be contaminated is addressed in a thorough and correct manner. I hope that the publication of this document will prove a useful tool for anyone intending to embark on developing any potentially contaminated sites in the Borough and make our requirements of them clear."    Copies of the guide are available by calling 020 7341 5716 or by contacting the Environmental Quality Unit at the following address:   Directorate of Environmental Health  37 Pembroke Road  London  W8 6PW","Notes for Editors","For a copy of the publication 'Contaminated land - A guide to help developers meet planning requirements' contact Jill Hemmings on 020 7361 2790.","NULL","NULL","Contaminated","land","guidelines","developer","planning","The  Royal Borough is leading the way in showing developers what they must do if they want to develop land that may be contaminated through previous use.","Guidelines to Clear Up Contaminated Land"
"3619","10/02/2011 10:00:00","OLYMPIC CYCLING COMES TO THE BOROUGH","The Royal Borough of Kensington and Chelsea is one of five London boroughs to host part of the Olympic Road Cycling races in 2012.<br /><br />The route of the races has been announced today (Thursday 10 February) by the London Organising Committee of the Olympic Games and Paralympic Games (LOCOG).<br /><br />Both races will take place on the first weekend of the Games, the men&#39;s race on Saturday 28 July and the women&#39;s on Sunday 29 July 2012. These races will give residents and visitors a chance to get close to the action of what will certainly be a spectacular event as it speeds through the borough. <br /> <br />The races will begin in Westminster and enter the Royal Borough at Knightsbridge.  They will then run along the Brompton Road to Fulham Road, before crossing into Hammersmith &#38; Fulham, Wandsworth, Richmond and beyond.<br /> <br />A test race will take place this August.  This event is an essential part of London&#39;s preparations for the Olympic Games in 2012.<br /><br />Both the test race and the Olympic event will be exciting spectacles, but they will cause some disruption to traffic and services.  Fulham Road and Brompton Road may be partially closed to traffic on the race days.<br /><br />The Council is working with the race organisers and will be asking LOCOG to provide it with further details about the times the roads will be closed and the impact on residents and businesses well in advance of the events.  As soon as more details are available the Council will ask LOCOG to organise local briefings.<br />","NULL","NULL","NULL","NULL","olympics","cycle race","Locog",,,"The Royal Borough of Kensington and Chelsea is one of five London boroughs to host part of the Olympic Road Cycling races in 2012.","OLYMPIC CYCLING COMES TO THE BOROUGH"
"3688","12/05/2011 11:14:00","TRELLICK TOWER INSPIRES NOTTING HILL BAG DESIGN ","A ten year-old pupil from Middle Row Primary School has become the latest designer to have their work featured on the Notting Hill Shopping Bag.  Chanay Vital&#39;s eye-catching design features the iconic Trellick Tower which is around the corner from her school in North Kensington.<br /><br />The bag is one of a series produced by the Notting Hill Shopping Bag project, a community scheme which aims to reduce plastic bag use, and donates ten per cent of profits to good causes.<br /><br />Previous bags have featured a `cupcake&#39; design by singer Natalie Imbruglia and drawings by other school pupils in Kensington and Chelsea. <br /><br />Chanay&#39;s limited edition `Trellick Tower&#39; bag costs £4 and it is on sale at stalls and shops on Portobello Road. To buy a bag online visit www.thenottinghillshoppingbag.co.uk <br />","NULL","NULL","NULL","NULL","Trellick tower","North kensington","Notting Hill","Portobello Market","bags","A ten year-old pupil from Middle Row Primary School has become the latest designer to have their work featured on the Notting Hill Shopping Bag.  Chanay Vital&#39;s eye-catching design features the iconic Trellick Tower which is around the corner from her school in North Kensington.","Trellick Tower inspires Notting Hill bag design"
"3707","05/05/2011 12:19:00","PLANS TO COMBINE COUNCIL SERVICES TAKE LEAP FORWARD ","Proposals to combine the first set of services across three West London authorities are set to be discussed by councillors at a series of cabinet meetings in the next week.<br /><br />Westminster City Council (WCC), Hammersmith &#38; Fulham (H&#38;F) and the Royal Borough of Kensington and Chelsea expect combined services to save £35 million a year by 2014/15, with around 500 jobs going in management, back office and support roles. Initial proposals are being developed in adult services, children&#39;s services, environmental services, library services and corporate services.<br /><br />At Prime Minister&#39;s Questions on Wednesday 4 May the PM gave his backing and said that other councils should be doing the same before looking at reductions in frontline services. <br /><br />Councillors at three respective cabinet meetings are set to be updated on how proposals are at an advanced stage to:<br /><br /> combine fostering and adoption services and youth offending services, with the creation of a single Local Safeguarding Children Board. In total this would save nearly £199,000 a year by 2014/15<br /> combine library services, not only saving local residents £1.4m but also giving them the ability to access libraries across the three boroughs for the first time<br /> combine environment management teams in Hammersmith &#38; Fulham and Royal Borough of Kensington and Chelsea, saving £1.5 million with a 48 per cent reduction in senior management (14 posts).<br /><br />Decisions on whether to combine services in these areas are expected to be made in June. That is when councillors will also hear detailed proposals to combine adult services, education services and corporate services. The first appointment across the three councils was made last month when former Westminster City Council Director of Adult Social Care, Marian Harrington was given the task of implementing a combined adult social care commissioning service integrated with heathcare provision.<br /><br />Hammersmith &#38; Fulham and Royal Borough of Kensington and Chelsea have agreed to share a chief executive from October 2011. The two councils already share senior management posts in legal services, highways and finance.<br /><br />The cabinets&#39; reports reveal that the majority of residents surveyed support the principle of combining services. Of 1,500 residents who took part in a telephone survey in February, 34 per cent said there should be some sharing of services, with 43 per cent saying that the three authorities should share as much as possible. Only 13 per cent of people were opposed to sharing services.<br /><br />Collectively, the three authorities must save £100 million by 2014/15. They have each signed a &#39;Sovereignty Guarantee&#39; to safeguard local autonomy, responsiveness and identity. Each of the councils will retain their own councillors and decision making processes. Services key to local areas, such as housing management, licensing and planning will be not be combined.<br /><br />The Leader of the Royal Borough of Kensington and Chelsea, Cllr Sir Merrick Cockell said: &#34;Everyone knows the financial straits councils find themselves in. To protect our services we have taken a difficult and challenging road but as this report shows we are making progress and we are making it happen.&#34;<br /><br />Hammersmith &#38; Fulham Council Leader Cllr Stephen Greenhalgh said: &#34;This is a common sense way of dealing with the big financial pressures facing councils up and down the country. Combining services is not only more cost effective but would also allow us to improve services in many areas such as allowing Hammersmith residents to access libraries in Westminster and vice versa.&#34;<br /><br />Westminster City C Council Leader Cllr Colin Barrow said: &#34;Every penny saved by our planned collaboration will help protect frontline services while local people across the three boroughs will not see any change in the way these services are delivered. In today&#39;s tough economic climate when council budgets are being scaled back this is a sensible and pragmatic way to deliver a number of services to our local residents.&#34;<br /><br />The Royal Borough&#39;s Cabinet meets on Thursday 5 May, with Westminster City Council and Hammersmith &#38; Fulham Cabinets meeting respectively on Monday 9 May.<br />","NULL","NULL","NULL","NULL","Combine services","Cllr Sir Merrick Cockell","Tri-borough","Royal Borough of Kensington and Chelsea",,"Proposals to combine the first set of services across three West London authorities are set to be discussed by councillors at a series of cabinet meetings in the next week.","Plans to combine council services take leap forward"
"3716","10/05/2011 12:53:00","WHY DON'T YOU GET INVOLVED?","Find out more about uniformed youth organisations and what they get up at the YOU (Youth Organised Uniform) London event on Saturday 21 May, from 1pm to 5pm in Holland Park.<br /><br />It&#39;s free to attend and on the day there will be the Boys&#39; Brigade Gymnastic Display Team and music from the Air Training Corps band. There will also be a fire engine, police dogs and traffic cars as well as a climbing wall.<br /><br />YOU brings together London&#39;s oldest, largest and most experienced uniformed youth organisations where youngsters are encouraged to learn various skills through positive activities, sport, expeditions and learning. <br /><br />YOU London is working with the Mayor of London, Boris Johnson, to increase the number of young people taking part in uniformed youth groups and the organisation is looking to recruit more adult volunteers. There are currently more than 17,000 volunteers working with around 76,000 children and young people across London.<br /><br />For more information about the event please contact Sergeant Paul Crook on 020 7795 6660 and to find out more about YOU and volunteering visit www.youlondon.org.uk<br /><br />","NULL","NULL","NULL","NULL","Youth","Holland Park","Boris Johnson","Event",,"Find out more about uniformed youth organisations and what they get up at the YOU (Youth Organised Uniform) London event on Saturday 21 May, from 1pm to 5pm in Holland Park.","Why don&#39;t you get involved?"
